Suma de Price per kilogram,Etiquetas de columna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etiquetas de fila,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Coahuila,Colima,D.F.,Durango,Edo. México,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2007,"$2,454.36","$5,198.97","$2,408.72","$2,363.31","$4,259.26","$4,514.63","$4,491.79","$2,294.35","$4,418.76","$3,258.06","$2,193.03","$3,410.30","$4,774.84","$2,237.88","$4,359.84","$2,259.65","$2,499.81","$2,280.13","$4,400.54","$2,153.23","$3,255.85","$2,310.08","$4,812.44","$2,286.83","$2,292.78","$7,949.05","$2,439.92","$11,829.25","$2,198.97","$9,217.60","$2,282.43","$2,196.74"
10/01/2007,$15.73,$15.62,$16.10,$16.07,$14.80,$15.90,$15.43,$15.90,$27.55,$12.40,$13.80,$14.15,$16.53,$14.37,$14.93,$13.27,$16.18,$15.87,$15.70,$14.87,$14.80,$14.65,$31.47,$14.52,$14.60,$34.25,$16.80,$13.86,$13.80,$57.12,$14.83,$13.80
12/01/2007,$15.73,$14.95,$15.53,$15.82,$14.80,$15.47,$15.13,$16.60,$14.97,$13.00,$14.17,$14.37,$16.57,$14.37,$15.33,$13.37,$16.30,$15.93,$15.67,$13.72,$14.80,$14.66,$33.45,$14.40,$15.27,$34.88,$17.30,$59.69,$14.00,$58.55,$14.63,$13.80
15/01/2007,$15.73,$15.89,$15.53,$15.82,$15.10,$15.57,$15.13,$15.40,$22.30,$12.83,$13.87,$14.37,$16.17,$14.57,$15.33,$13.13,$16.53,$15.93,$15.03,$13.92,$14.65,$14.67,$32.72,$14.43,$15.27,$34.29,$16.83,$58.37,$14.23,$58.27,$14.03,$13.40
16/01/2007,$15.73,$15.88,$15.53,$15.82,$15.10,$15.47,$15.63,$15.40,$28.27,$12.83,$14.23,$14.37,$16.17,$14.57,$15.13,$13.33,$16.38,$15.93,$15.03,$14.02,$14.65,$14.67,$32.22,$14.33,$15.27,$34.29,$17.03,$58.97,$13.97,$58.37,$14.93,$13.73
17/01/2007,$15.73,$15.88,$15.53,$15.82,$15.10,$15.47,$15.63,$15.20,$28.87,$12.80,$14.20,$15.13,$15.77,$14.57,$15.33,$13.33,$16.40,$15.53,$15.03,$14.02,$14.65,$14.67,$32.52,$14.33,$15.27,$34.62,$16.83,$59.97,$14.37,$58.57,$14.93,$13.73
18/01/2007,$15.73,$16.05,$15.53,$15.75,$15.10,$15.47,$15.63,$15.20,$28.90,$12.80,$13.87,$15.13,$15.77,$14.57,$15.13,$13.57,$16.40,$15.53,$15.03,$14.02,$14.80,$14.67,$32.02,$14.33,$15.27,$35.62,$16.73,$59.97,$14.40,$58.97,$15.23,$13.70
19/01/2007,$15.73,$16.05,$15.53,$15.75,$15.10,$15.70,$15.63,$15.20,$27.33,$12.70,$13.90,$14.60,$15.43,$14.57,$15.13,$13.80,$16.40,$15.53,$15.03,$14.02,$13.97,$14.67,$30.42,$14.33,$15.27,$35.62,$16.73,$60.36,$14.40,$59.07,$14.17,$13.70
20/01/2007,$15.73,$16.05,$15.53,$14.57,$15.10,$15.40,$15.87,$15.43,$27.37,$13.20,$13.90,$14.60,$15.43,$14.57,$15.13,$14.40,$16.40,$15.53,$15.33,,$13.81,$14.67,$14.53,,$14.97,$35.85,$16.73,$59.93,$14.40,$57.27,,$13.80
22/01/2007,$15.23,$16.08,$15.53,$13.65,$14.90,$15.40,$15.87,$15.43,$27.37,$13.20,$13.70,$13.80,$15.43,$14.33,$14.60,$14.30,$16.40,$15.53,$14.73,$14.02,$13.97,$14.67,$28.96,$14.33,$14.03,$34.82,$16.13,$60.23,$14.40,$56.94,$13.23,$13.80
23/01/2007,$15.20,$16.08,$15.53,$13.73,$13.50,$15.40,$15.87,$15.43,$26.97,$13.20,$13.70,$13.80,$16.03,$14.03,$14.60,$14.30,$16.40,$14.23,$14.97,$14.02,$13.81,$14.67,$28.76,$14.33,$14.77,$35.35,$15.93,$60.26,$14.40,$57.54,$13.23,$13.80
24/01/2007,$15.50,$16.09,$15.50,$13.68,$13.50,$15.40,$15.87,$15.43,$26.97,$12.80,$13.70,$13.80,$15.83,$14.03,$14.60,$14.20,$16.40,$14.23,$14.87,$14.02,$13.81,$14.67,$28.76,$14.33,$14.77,$35.02,$15.11,$60.36,$14.30,$56.63,$13.23,$13.80
25/01/2007,$15.80,$34.98,$15.50,$14.03,$26.20,$29.93,$29.69,$14.33,$27.41,$21.55,$13.79,$22.13,$31.11,$14.03,$22.89,$14.20,$16.80,$14.23,$23.83,$13.89,$22.10,$14.47,$28.91,$13.68,$14.77,$46.62,$15.11,$76.20,$13.80,$56.89,$13.12,$13.80
26/01/2007,$15.77,$34.98,$15.50,$14.00,$27.61,$29.93,$29.17,$14.33,$27.19,$21.55,$13.79,$22.05,$31.05,$14.03,$28.75,$14.51,$16.80,$14.23,$29.14,$13.89,$20.77,$14.47,$28.91,$13.88,$14.77,$46.48,$14.31,$75.70,$13.80,$57.09,$13.12,$13.80
27/01/2007,$15.77,$34.98,$15.50,$14.00,$27.61,$29.93,$28.97,$14.33,$27.24,$21.89,$13.76,$22.05,$31.05,$13.57,$28.56,$14.51,$16.80,$14.23,$28.83,$13.89,$20.77,$14.47,$28.91,$13.88,$14.77,$46.72,$14.31,$76.20,$13.80,$56.96,$13.12,$13.80
29/01/2007,$15.77,$33.94,$15.73,$15.40,$26.39,$29.60,$28.94,$14.33,$28.15,$21.89,$13.79,$22.05,$31.05,$13.57,$28.56,$14.51,$16.80,$14.23,$28.31,$13.89,$21.44,$14.47,$29.58,$13.88,$14.40,$53.22,$14.31,$76.54,$13.80,$57.59,$13.79,$13.80
30/01/2007,$15.77,$33.95,$15.73,$14.67,$27.25,$28.96,$29.22,$14.33,$28.12,$21.39,$13.79,$22.18,$31.05,$13.57,$28.56,$14.51,$15.97,$14.23,$28.34,$13.89,$21.44,$14.47,$29.58,$14.63,$14.40,$53.15,$14.31,$76.54,$13.80,$58.25,$14.36,$13.80
31/01/2007,$15.77,$33.95,$15.73,$14.67,$27.25,$28.66,$28.92,$14.33,$28.11,$21.64,$13.79,$22.30,$31.05,$14.03,$28.53,$14.51,$15.97,$14.27,$28.55,$13.89,$21.43,$14.47,$29.58,$14.63,$14.37,$53.15,$14.95,$75.73,$13.80,$58.82,$14.36,$13.80
01/02/2007,$15.77,$33.99,$15.73,$14.13,$27.58,$28.66,$28.92,$14.33,$28.11,$21.64,$13.79,$22.13,$31.05,$14.03,$28.56,$14.51,$15.97,$14.27,$28.86,$13.89,$21.43,$14.37,$30.18,$14.63,$14.37,$53.25,$15.58,$74.90,$13.80,$59.90,$14.36,$13.77
02/02/2007,$15.77,$33.99,$15.23,$14.13,$27.41,$28.66,$28.42,$14.33,$28.01,$21.64,$13.79,$22.13,$31.05,$14.03,$28.53,$14.51,$15.97,$14.27,$28.86,$13.89,$21.13,$14.37,$30.18,$14.63,$14.37,$53.15,$15.58,$75.54,$13.80,$59.65,$14.36,$13.77
03/02/2007,$15.77,$33.99,$15.23,$14.13,$26.86,$28.66,$28.42,$14.33,$28.00,$21.64,$13.79,$22.05,$31.05,$14.03,$28.53,$14.51,$15.97,$14.23,$28.76,$13.89,$21.13,$14.37,$30.18,$14.63,$14.37,$53.15,$14.13,$75.54,$13.80,$59.65,$13.12,$13.77
06/02/2007,$15.77,$33.99,$15.23,$14.13,$26.86,$28.66,$28.92,$14.33,$28.00,$21.20,$13.79,$22.05,$31.05,$14.30,$28.53,$14.16,$15.63,$14.23,$28.66,$13.89,$21.13,$14.23,$30.18,$14.63,$14.37,$53.15,$15.40,$75.54,$13.80,$57.72,$14.36,$13.77
07/02/2007,$15.77,$33.99,$15.23,$14.13,$27.40,$29.30,$28.80,$14.33,$28.01,$20.93,$13.79,$22.05,$31.05,$14.03,$28.41,$14.16,$15.63,$14.23,$28.66,$13.72,$21.29,$14.33,$30.18,$14.63,$14.37,$51.15,$15.30,$75.61,$13.80,$56.34,$14.32,$13.77
08/02/2007,$15.77,$33.95,$15.23,$14.13,$27.20,$29.30,$28.92,$14.33,$28.01,$20.93,$13.79,$22.05,$31.05,$14.03,$28.27,$14.16,$15.63,$14.23,$28.66,$13.72,$21.29,$14.33,$30.18,$14.63,$14.37,$51.15,$15.30,$75.77,$13.80,$58.53,$14.32,$13.50
09/02/2007,$15.77,$33.95,$15.23,$14.13,$27.20,$29.30,$28.92,$14.33,$27.99,$20.93,$13.79,$22.05,$30.99,$14.03,$28.41,$14.16,$15.63,$14.23,$28.66,$13.72,$21.29,$14.33,$30.18,$14.63,$14.37,$51.15,$15.40,$75.61,$13.80,$58.03,$14.32,$13.50
10/02/2007,$15.77,$33.95,$15.23,$14.13,$26.65,$29.30,$28.92,$14.33,$27.99,$20.93,$13.76,$22.18,$30.99,$14.03,$28.41,$14.16,$15.63,$14.23,$28.66,$13.72,$21.29,$14.33,$30.18,$14.63,$14.37,$51.15,$15.40,$75.61,$13.80,$59.13,$14.32,$13.50
12/02/2007,$15.47,$33.95,$15.23,$14.13,$26.65,$29.43,$28.80,$14.33,$27.97,$21.30,$13.79,$22.18,$30.99,$14.03,$28.27,$14.16,$15.63,$14.23,$28.66,$13.55,$21.29,$14.33,$30.87,$14.30,$14.37,$51.15,$15.40,$75.77,$13.80,$58.39,$14.32,$13.50
13/02/2007,$15.47,$33.95,$15.23,$14.83,$26.90,$29.43,$28.80,$14.33,$27.99,$21.30,$13.79,$22.18,$30.99,$14.03,$28.27,$13.86,$15.63,$14.23,$28.74,$13.55,$21.29,$14.33,$30.87,$14.63,$14.37,$51.15,$15.40,$75.40,$13.80,$58.39,$14.39,$13.50
14/02/2007,$15.47,$33.95,$15.23,$14.80,$26.83,$29.18,$29.07,$14.33,$27.98,$21.20,$13.79,$22.18,$30.99,$14.03,$28.27,$14.23,$15.63,$14.23,$28.74,$13.55,$21.09,$14.60,$30.87,$14.63,$14.37,$51.15,$15.40,$75.40,$13.80,$59.36,$14.39,$13.50
15/02/2007,$15.47,$33.98,$15.23,$14.80,$26.83,$29.18,$29.07,$14.33,$27.98,$20.93,$13.79,$22.18,$30.99,$14.03,$28.27,$14.23,$15.63,$14.23,$28.74,$13.55,$21.09,$14.60,$30.87,$14.63,$14.37,$51.15,$15.40,$75.40,$13.80,$59.11,$14.39,$13.50
16/02/2007,$15.47,$33.98,$15.23,$14.80,$27.50,$29.18,$29.07,$14.33,$28.00,$20.93,$13.79,$22.18,$30.99,$14.03,$28.27,$14.23,$15.63,$14.23,$28.74,$13.55,$21.11,$14.60,$30.87,$14.63,$14.37,$51.15,$15.40,$75.40,$13.80,$59.11,$14.39,$14.00
17/02/2007,$15.47,$33.98,$14.73,$14.87,$27.50,$29.18,$29.33,$14.33,$28.00,$20.93,$13.79,$22.18,$30.99,$14.03,$28.27,$14.23,$15.63,$14.23,$28.74,$13.55,$21.11,$14.60,$30.87,$14.63,$14.37,$51.15,$15.40,$75.40,$13.80,$59.11,$14.39,$14.00
19/02/2007,$15.47,$33.98,$14.73,$14.80,$27.50,$29.18,$29.33,$14.33,$28.00,$20.93,$13.79,$22.18,$30.99,$14.03,$28.23,$14.23,$15.63,$14.23,$28.66,$13.55,$21.09,$14.60,$30.87,$14.63,$14.37,$51.15,$15.30,$75.23,$13.80,$59.11,$14.39,$14.03
20/02/2007,$15.47,$33.98,$14.73,$14.80,$27.50,$29.18,$29.33,$14.33,$28.00,$20.93,$13.79,$22.18,$30.99,$14.03,$28.27,$14.23,$15.63,$14.23,$28.66,$13.55,$21.09,$14.60,$30.87,$14.63,$14.37,$50.48,$15.30,$75.40,$13.80,$58.61,$14.39,$14.03
21/02/2007,$15.47,$33.97,$14.73,$15.03,$27.50,$29.24,$29.20,$14.33,$27.99,$20.93,$13.79,$22.18,$30.99,$14.03,$28.27,$14.23,$15.63,$14.23,$28.66,$13.55,$21.08,$14.60,$30.87,$14.50,$14.37,$50.41,$15.30,$75.56,$13.80,$58.61,$14.39,$14.03
22/02/2007,$15.47,$33.97,$14.73,$14.83,$27.50,$29.24,$29.20,$14.33,$27.99,$20.93,$13.79,$22.18,$30.99,$14.03,$28.27,$14.23,$15.63,$14.23,$28.66,$13.55,$21.08,$14.40,$30.87,$14.50,$14.37,$50.83,$15.30,$75.40,$13.80,$58.61,$14.39,$14.03
23/02/2007,$15.47,$33.95,$14.73,$14.83,$27.50,$29.24,$29.20,$14.33,$27.99,$20.93,$13.79,$22.18,$30.99,$14.03,$28.27,$14.23,$15.63,$14.23,$28.66,$13.55,$21.08,$14.40,$30.87,$14.50,$14.37,$50.83,$15.30,$75.40,$13.80,$58.61,$14.39,$14.03
24/02/2007,$15.47,$33.95,$14.73,$14.80,$27.50,$29.24,$29.20,$14.33,$27.99,$20.93,$13.79,$22.18,$30.99,$14.03,$28.27,$14.23,$15.63,$14.23,$28.54,$13.55,$21.08,$14.40,$30.87,$14.50,$14.37,$50.83,$15.30,$75.40,$13.80,$58.61,$14.39,$14.03
26/02/2007,$15.47,$33.95,$14.73,$14.80,$27.50,$29.24,$29.20,$14.33,$27.99,$20.93,$13.79,$22.18,$30.99,$13.77,$28.27,$14.23,$15.63,$14.23,$28.60,$13.55,$21.08,$14.40,$30.87,$14.63,$14.37,$50.83,$15.30,$74.31,$13.80,$58.61,$14.39,$13.53
27/02/2007,$15.47,$33.95,$14.73,$14.80,$27.50,$29.24,$29.20,$14.33,$27.97,$20.93,$13.79,$22.18,$30.99,$14.03,$28.27,$14.23,$15.63,$14.23,$28.60,$13.55,$21.08,$14.40,$30.87,$14.63,$14.37,$50.83,$15.30,$74.28,$13.80,$58.61,$14.39,$13.53
28/02/2007,$15.47,$33.95,$14.73,$14.80,$27.50,$29.24,$29.20,$14.33,$27.97,$20.74,$13.79,$22.18,$30.99,$14.03,$28.27,$14.23,$15.63,$14.23,$28.60,$13.55,$21.08,$14.40,$30.87,$14.63,$14.37,$50.83,$15.30,$74.04,$13.80,$58.61,$14.39,$13.50
01/03/2007,$15.47,$33.75,$14.73,$14.80,$27.50,$29.24,$29.20,$14.33,$27.97,$20.74,$13.79,$22.18,$30.99,$14.03,$28.27,$14.23,$15.63,$14.23,$28.60,$13.55,$21.08,$14.40,$30.87,$14.63,$14.37,$50.83,$15.30,$74.28,$13.80,$58.61,$14.39,$13.47
02/03/2007,$15.47,$33.75,$14.73,$14.80,$27.50,$29.24,$29.20,$14.33,$27.97,$20.74,$13.79,$22.18,$30.99,$13.77,$28.27,$14.23,$15.63,$14.23,$28.60,$13.55,$21.08,$14.40,$30.87,$14.63,$14.37,$50.83,$15.30,$74.61,$13.80,$58.61,$14.39,$13.50
03/03/2007,$15.47,$33.75,$14.73,$14.80,$27.50,$29.24,$29.24,$14.33,$27.97,$20.74,$13.79,$22.18,$30.99,$13.77,$28.27,$14.23,$15.63,$14.23,$28.60,$13.55,$21.08,$14.40,$30.87,$14.63,$14.37,$50.83,$15.30,$74.61,$13.80,$58.88,$14.39,$13.50
05/03/2007,$15.47,$33.75,$14.73,$14.80,$27.35,$29.28,$29.24,$14.33,$27.97,$20.72,$13.79,$22.18,$30.99,$14.03,$28.30,$14.23,$15.63,$14.23,$28.60,$13.55,$20.92,$14.40,$30.87,$14.43,$14.37,$50.83,$15.30,$74.61,$13.80,$58.61,$14.39,$13.53
06/03/2007,$15.47,$33.75,$14.73,$14.80,$27.50,$29.24,$29.20,$14.33,$27.97,$20.72,$13.79,$22.18,$30.99,$13.77,$28.30,$14.23,$15.63,$14.23,$28.60,$13.55,$20.87,$14.40,$30.87,$14.43,$14.37,$50.83,$15.30,$74.58,$13.80,$58.61,$14.39,$13.53
07/03/2007,$15.47,$33.75,$14.73,$14.80,$27.50,$29.24,$29.20,$14.33,$27.97,$20.72,$13.79,$22.18,$30.99,$13.77,$28.26,$14.23,$15.63,$14.23,$28.60,$13.55,$20.92,$14.40,$30.87,$14.43,$14.37,$50.83,$15.30,$74.58,$13.80,$58.61,$14.39,$13.40
08/03/2007,$15.47,$33.75,$14.73,$14.80,$27.50,$29.55,$29.20,$14.33,$27.97,$20.63,$13.79,$22.18,$30.99,$13.77,$28.27,$14.23,$15.63,$14.23,$28.60,$13.55,$20.92,$14.40,$30.87,$14.43,$14.37,$50.83,$15.30,$74.58,$13.80,$58.61,$14.39,$13.53
09/03/2007,$15.37,$33.75,$14.73,$14.70,$27.58,$29.55,$29.20,$14.33,$27.97,$20.63,$13.79,$21.93,$30.68,$13.77,$28.30,$14.23,$15.63,$14.23,$28.60,$13.55,$20.92,$14.40,$30.87,$14.43,$14.37,$50.83,$15.30,$74.33,$13.80,$58.61,$14.39,$13.50
10/03/2007,$15.37,$33.75,$14.73,$14.68,$27.72,$29.55,$29.24,$14.33,$27.97,$20.63,$13.74,$21.93,$30.65,$13.77,$28.30,$14.23,$15.63,$14.23,$28.60,$13.55,$20.92,$14.40,$31.10,$14.50,$14.37,$50.83,$14.67,$74.41,$13.80,$58.38,$14.39,$13.50
12/03/2007,$15.37,$33.75,$14.73,$14.80,$27.62,$29.24,$29.20,$14.33,$27.97,$20.63,$13.79,$21.93,$30.65,$13.77,$28.30,$14.23,$15.63,$14.23,$28.60,$13.55,$20.92,$14.40,$30.48,$14.50,$14.37,$50.83,$15.30,$74.58,$13.80,$59.11,$14.39,$13.50
13/03/2007,$15.37,$33.75,$14.73,$14.80,$27.62,$29.24,$29.20,$14.33,$27.97,$21.00,$13.79,$21.93,$30.65,$13.77,$28.30,$14.23,$15.63,$14.23,$28.66,$13.55,$20.92,$14.40,$29.86,$14.50,$14.37,$50.83,$15.30,$74.58,$13.80,$59.11,$14.39,$13.50
14/03/2007,$15.37,$33.75,$14.73,$14.80,$27.62,$29.54,$29.20,$14.33,$27.97,$20.63,$13.79,$21.93,$30.65,$13.77,$28.30,$14.23,$15.63,$14.23,$28.66,$13.55,$20.92,$14.40,$30.48,$14.50,$14.37,$50.62,$15.30,$74.58,$13.80,$59.11,$14.39,$13.50
15/03/2007,$15.37,$33.75,$14.73,$14.80,$27.62,$29.24,$29.20,$14.33,$27.97,$21.00,$13.79,$21.93,$30.65,$14.03,$28.34,$14.30,$15.63,$14.23,$28.66,$13.55,$20.92,$14.40,$30.48,$14.50,$14.37,$50.58,$15.30,$74.71,$13.80,$59.36,$14.39,$13.53
16/03/2007,$15.37,$33.75,$14.73,$14.80,$27.58,$29.19,$29.20,$14.33,$27.97,$20.63,$13.79,$21.93,$30.65,$14.03,$28.30,$14.23,$15.63,$14.23,$28.66,$13.55,$20.92,$14.40,$30.48,$14.50,$14.37,$50.58,$15.30,$74.58,$13.80,$59.36,$14.39,$13.53
17/03/2007,$15.37,$33.75,$14.73,$14.80,$27.68,$29.19,$29.20,$14.30,$27.97,$20.63,$13.79,$21.93,$30.99,$14.03,$28.30,$14.23,$15.63,$14.30,$28.66,$13.72,$20.92,$14.40,$30.48,$14.50,$14.37,$50.83,$14.67,$74.58,$13.70,$59.36,$14.39,$13.53
20/03/2007,$15.37,$33.91,$14.73,$14.80,$27.58,$29.19,$29.20,$14.33,$27.97,$21.20,$13.79,$21.93,$30.99,$13.77,$28.30,$14.23,$15.63,$14.23,$28.06,$13.55,$20.92,$14.40,$30.87,$14.50,$14.37,$50.83,$15.30,$74.58,$13.80,$59.36,$14.39,$13.53
21/03/2007,$15.37,$33.90,$14.73,$14.80,$27.58,$29.19,$29.20,$14.33,$27.97,$21.20,$13.79,$21.93,$30.99,$13.77,$28.30,$14.23,$15.63,$14.23,$28.06,$13.55,$20.92,$14.40,$30.48,$14.50,$14.37,$50.87,$15.30,$74.58,$13.80,$59.36,$14.39,$13.53
22/03/2007,$15.37,$33.86,$14.73,$14.80,$27.58,$29.19,$29.20,$14.33,$27.97,$21.20,$13.79,$21.93,$30.99,$13.77,$28.34,$14.23,$15.63,$14.23,$28.26,$13.55,$20.92,$14.40,$30.48,$14.50,$14.37,$50.83,$15.30,$74.55,$13.80,$59.36,$14.39,$13.53
23/03/2007,$15.37,$33.90,$14.73,$14.80,$27.08,$29.19,$29.20,$14.33,$27.97,$21.20,$13.79,$21.93,$30.99,$13.77,$28.34,$14.23,$15.63,$14.23,$28.26,$13.55,$20.92,$14.40,$30.48,$14.50,$14.37,$50.83,$15.30,$74.65,$13.80,$58.36,$14.39,$13.53
24/03/2007,$15.37,$33.90,$14.73,$14.80,$27.58,$29.19,$29.20,$14.33,$27.97,$21.20,$13.79,$21.93,$30.99,$13.77,$28.34,$14.23,$15.63,$14.23,$28.46,$13.55,$20.92,$14.40,$30.48,$14.50,$14.37,$50.83,$15.30,$75.40,$13.80,$58.36,$14.39,$13.53
26/03/2007,$15.37,$33.90,$14.73,$14.80,$27.58,$29.19,$29.20,$14.33,$27.97,$20.85,$13.79,$21.93,$30.99,$14.03,$28.34,$14.23,$15.63,$14.23,$28.34,$13.55,$20.92,$14.40,$30.48,$14.50,$14.37,$50.83,$15.30,$75.40,$13.80,$58.36,$14.39,$13.53
27/03/2007,$15.37,$33.90,$14.73,$14.80,$27.58,$29.19,$29.20,$14.33,$27.97,$20.85,$13.79,$21.93,$31.11,$14.03,$28.34,$14.23,$15.63,$14.23,$28.66,$13.55,$20.92,$14.40,$30.18,$14.50,$14.37,$50.83,$15.30,$75.87,$13.80,$58.36,$14.39,$13.53
28/03/2007,$15.37,$33.90,$14.73,$14.70,$27.58,$29.19,$29.20,$14.30,$27.97,$21.00,$13.71,$21.93,$31.07,$14.03,$28.34,$14.23,$15.63,$14.23,$28.66,$13.55,$20.57,$14.40,$30.18,$14.50,$14.37,$50.83,$15.30,$75.33,$13.80,$58.36,$14.39,$13.53
29/03/2007,$15.37,$33.92,$14.73,$14.70,$27.08,$29.19,$29.20,$14.33,$27.97,$21.05,$13.79,$21.93,$31.05,$13.77,$28.34,$14.23,$15.63,$14.23,$28.66,$13.55,$20.57,$14.40,$30.18,$14.50,$14.37,$50.83,$15.30,$75.40,$13.80,$58.36,$14.39,$13.53
30/03/2007,$15.37,$33.86,$14.73,$14.70,$27.08,$29.19,$29.20,$14.33,$27.97,$21.05,$13.79,$21.93,$30.99,$13.77,$28.34,$14.23,$15.63,$14.23,$28.66,$13.55,$20.57,$14.40,$30.18,$14.50,$14.37,$50.83,$15.30,$75.40,$13.80,$58.36,$14.39,$13.53
31/03/2007,$15.37,$33.86,$14.73,$14.80,$27.68,$29.19,$29.20,$14.33,$27.97,$21.05,$13.56,$21.93,$30.99,$13.77,$28.34,$14.23,$15.63,$14.23,$28.66,$13.55,$20.57,$14.40,$30.18,$14.50,$14.37,$50.83,$15.30,$75.03,$13.80,$58.36,$14.39,$13.53
02/04/2007,$15.37,$33.90,$14.73,$14.70,$27.58,$29.19,$29.20,$14.33,$27.97,$20.68,$13.79,$21.93,$31.22,$13.77,$28.34,$14.23,$15.63,$14.23,$28.66,$13.55,$21.24,$14.40,$30.32,$14.50,$14.37,$50.83,$15.30,$75.90,$13.80,$58.36,$14.59,$13.53
03/04/2007,$15.37,$33.90,$14.73,$14.70,$27.58,$29.19,$29.20,$14.33,$27.97,$21.03,$13.79,$21.93,$30.99,$13.77,$28.34,$14.23,$15.63,$14.23,$28.66,$13.55,$20.92,$14.40,$30.32,$14.50,$14.37,$50.87,$15.30,$75.93,$13.80,$58.61,$14.59,$13.47
04/04/2007,$15.37,$33.90,$14.73,$14.70,$27.68,$29.00,$29.20,$14.33,$27.97,$21.03,$13.71,$21.93,$30.99,$14.03,$28.34,$14.23,$15.63,$14.23,$28.66,$13.55,$20.92,$14.40,$30.32,$14.50,$14.37,$50.65,$15.30,$75.93,$13.80,$58.61,$14.59,$13.47
09/04/2007,$15.37,$33.90,$14.73,$14.80,$27.68,$29.19,$29.20,$14.33,$27.97,$20.58,$13.79,$21.93,$31.02,$13.77,$28.34,$14.23,$15.63,$14.23,$28.66,$13.55,$20.92,$14.40,$30.32,$14.50,$14.37,$50.83,$15.30,$75.93,$13.80,$58.61,$14.59,$13.47
10/04/2007,$15.37,$33.90,$14.73,$14.80,$27.68,$29.19,$29.20,$14.33,$27.97,$20.35,$13.79,$21.93,$31.02,$13.77,$28.30,$14.23,$15.63,$14.23,$28.66,$13.55,$20.77,$14.40,$30.32,$14.50,$14.37,$51.16,$15.30,$75.93,$13.80,$58.61,$14.59,$13.47
11/04/2007,$15.37,$33.86,$14.73,$14.70,$27.68,$29.19,$29.20,$14.31,$27.97,$20.37,$13.79,$21.93,$31.02,$13.77,$28.30,$14.23,$15.63,$14.23,$28.66,$13.55,$20.77,$14.40,$30.32,$14.50,$14.37,$51.20,$15.30,$75.93,$13.80,$58.61,$14.59,$13.47
12/04/2007,$15.37,$33.86,$14.73,$14.70,$27.68,$29.24,$29.20,$14.33,$27.97,$20.37,$13.79,$21.93,$31.02,$13.77,$28.30,$14.23,$15.63,$14.23,$28.66,$13.55,$20.77,$14.40,$30.32,$14.50,$14.37,$51.20,$15.30,$75.93,$13.80,$58.61,$14.59,$13.50
13/04/2007,$15.37,$33.86,$14.73,$14.70,$27.68,$29.24,$29.20,$14.33,$27.97,$20.37,$13.79,$21.93,$31.02,$14.03,$28.30,$14.23,$15.63,$14.23,$28.66,$13.82,$20.77,$14.50,$30.32,$14.50,$14.37,$51.16,$15.30,$75.83,$13.80,$58.61,$14.59,$13.47
14/04/2007,$15.37,$33.86,$14.73,$14.70,$27.68,$29.24,$29.20,$14.33,$27.97,$20.37,$13.79,$21.93,$31.02,$14.03,$28.30,$14.23,$15.63,$14.23,$28.66,$13.55,$20.77,$14.50,$30.32,$14.50,$14.37,$51.16,$15.00,$75.83,$13.80,$58.64,$14.59,$13.47
16/04/2007,$15.37,$33.86,$14.73,$14.70,$27.68,$28.99,$29.20,$14.33,$27.97,$21.20,$13.79,$21.93,$31.02,$14.03,$28.30,$14.23,$15.63,$14.23,$28.66,$13.55,$20.77,$14.50,$30.32,$14.63,$14.37,$51.16,$15.30,$75.83,$13.80,$57.48,$14.59,$13.47
17/04/2007,$15.37,$33.88,$14.73,$14.70,$27.68,$28.99,$29.20,$14.33,$27.97,$21.20,$13.79,$21.93,$30.99,$14.03,$28.34,$14.23,$15.63,$14.23,$28.66,$13.55,$20.77,$14.50,$30.32,$14.63,$14.37,$51.16,$15.30,$75.83,$13.80,$57.48,$14.59,$13.47
18/04/2007,$15.37,$33.88,$14.73,$14.70,$27.68,$29.44,$29.20,$14.33,$27.97,$20.88,$13.79,$21.93,$30.99,$13.97,$28.34,$14.23,$15.63,$14.23,$28.66,$13.55,$20.77,$14.50,$30.32,$14.46,$14.37,$50.91,$15.30,$75.83,$13.80,$57.48,$14.59,$13.47
19/04/2007,$15.37,$33.88,$14.73,$14.70,$27.68,$29.44,$29.20,$14.33,$27.97,$20.88,$13.79,$21.93,$30.99,$13.97,$28.34,$14.23,$15.63,$14.23,$28.66,$13.55,$20.77,$14.50,$30.32,$14.46,$14.37,$51.20,$15.30,$75.83,$13.80,$57.48,$14.59,$13.47
20/04/2007,$15.37,$33.88,$14.73,$14.80,$27.68,$29.44,$29.20,$14.33,$27.97,$20.88,$13.79,$21.93,$30.99,$13.97,$28.34,$14.23,$15.63,$14.23,$28.66,$13.55,$20.77,$14.50,$30.32,$14.46,$14.37,$50.46,$15.30,$76.03,$13.80,$57.52,$14.59,$13.47
